dia,remper
2.7940000000000005,6.5
3.302,6.5
3.048,5.5
3.302,7
3.5559999999999996,7
2.54,7
3.81,7
2.7940000000000005,6.2
3.5559999999999996,6.9
3.81,6.9
3.048,6.9
3.81,6.9
3.302,6.9
3.302,6.2
2.7940000000000005,6.2
2.7940000000000005,6.2
3.302,6.2
2.54,6.2
3.048,6.3
3.302,6.3
4.064,6.3
5.08,6.3
4.826,6.9
2.7940000000000005,6.9
2.7940000000000005,5.4
2.7940000000000005,5.4
2.54,6.3
2.54,7.1
5.842,7.1
2.54,7.1
2.54,6.6
2.54,6.6
3.048,6.5
2.7940000000000005,6.5
2.7940000000000005,6.2
4.064,6.2
3.302,6.6
3.048,6.6
2.7940000000000005,6.6
2.54,6.3
2.54,6.3
2.7940000000000005,6.3
4.318,6.4
3.048,6.6
3.302,6.5
3.048,6.5
2.7940000000000005,6.5
2.54,6.7
3.302,6.4
3.81,6.4
2.54,6.4
2.54,6.4
3.5559999999999996,6.7
3.302,6
3.048,6
2.54,6
6.35,6
2.7940000000000005,7.3
2.7940000000000005,7.3
7.366,7.3
2.7940000000000005,7.4
3.302,7.4
3.048,7.4
2.7940000000000005,7.4
2.54,7.4
3.302,7.4
6.8580000000000005,7.4
2.54,7.6
2.54,7.4
4.064,7.4
3.5559999999999996,7.4
2.54,7.4
2.54,7.4
4.064,7.4
2.54,7.3
5.3340000000000005,6.4
5.08,6.4
2.7940000000000005,6.7
2.54,6.7
2.7940000000000005,7
2.7940000000000005,7
3.81,6.9
3.048,7.2
2.54,6.3
2.54,6.8
2.54,7.2
2.54,7.2
2.54,6.5
3.302,6.5
3.302,6.5
2.7940000000000005,6.5
2.54,6.5
3.302,6.5
3.048,6.5
3.5559999999999996,6.5
2.7940000000000005,6.9
3.5559999999999996,6.9
3.302,6.9
4.064,6.9
3.048,6.7
2.7940000000000005,6.8
2.7940000000000005,7.4
6.35,7.4
2.54,7.4
3.81,6.8
3.302,6.8
2.7940000000000005,6.8
3.302,7.2
9.652,7.2
8.382,7.2
3.302,7.2
4.318,7.2
2.54,6.4
2.7940000000000005,7.3
2.54,7.3
5.3340000000000005,6.5
4.572,6.5
2.7940000000000005,6.8
3.5559999999999996,6.8
4.064,6.8
2.54,6.4
3.048,6.4
3.048,6.4
2.54,7
3.81,7
3.302,5
2.54,7.4
2.54,6.6
2.54,6.8
2.54,6.8
3.302,9
2.54,6.2
2.54,6.2
2.54,6.2
2.54,6.2
3.81,7
3.81,7
6.096,6
3.81,6
2.54,6.9
3.048,6.9
2.7940000000000005,7.3
4.318,7.3
3.302,7.3
2.54,7
2.7940000000000005,7
2.7940000000000005,7
3.81,7
2.54,7
2.54,6.8
2.54,7
2.54,7
2.7940000000000005,7
3.048,7
2.7940000000000005,7
7.111999999999999,7
2.54,7
2.54,7
2.54,7
2.7940000000000005,7.1
5.842,7.1
2.7940000000000005,7.1
3.81,7.1
4.318,7.1
3.81,7.1
4.572,7.1
3.302,7.1
3.048,7.1
3.302,7.1
12.446000000000002,6.6
2.7940000000000005,5.3
2.54,5.3
3.302,6.2
11.684,6.2
6.604,6.2
3.302,7.2
2.54,6.3
2.54,6.3
2.54,6.7
2.54,6.7
2.7940000000000005,7.1
4.064,7.1
2.54,7.1
3.048,6.9
2.54,6.9
5.3340000000000005,7
2.54,7
2.7940000000000005,7
3.5559999999999996,7
3.048,7
2.54,4.4
6.604,4.4
2.7940000000000005,4.4
3.048,6.1
3.048,6.4
3.048,7.2
2.54,7
2.54,7
2.54,7
4.318,7
3.81,6.9
2.7940000000000005,6.9
2.7940000000000005,6.9
2.7940000000000005,7.2
3.302,7.2
2.54,7.2
3.302,7.2
5.3340000000000005,8.1
3.5559999999999996,8.1
10.414,7.7
2.7940000000000005,7.7
3.048,7.5
2.54,7.5
2.54,7.3
10.668000000000001,7.3
2.54,7.1
2.54,7.1
3.5559999999999996,6.6
4.318,6.6
6.096,6.6
3.302,7.3
3.5559999999999996,7.7
2.54,7.2
7.366,7.2
2.54,6.6
2.54,7
2.54,7.1
6.8580000000000005,7
2.54,7
3.048,7
4.064,7
5.08,7
4.826,6.9
4.064,6.9
6.604,6.9
5.842,7
3.048,6.1
2.54,7.3
2.54,7.3
3.048,6.9
3.048,7
3.048,7
2.54,5
2.7940000000000005,5
2.7940000000000005,5
3.302,5
2.54,7
3.5559999999999996,8
9.398000000000001,8
3.302,8
7.366,8
2.7940000000000005,8
2.7940000000000005,7.1
2.7940000000000005,7.1
4.572,7.1
2.54,7.1
3.5559999999999996,7.1
2.54,7.1
2.54,7.1
3.302,7.1
3.5559999999999996,6.4
2.54,6.9
2.7940000000000005,6.9
2.7940000000000005,6.9
2.54,6.9
2.54,8.9
2.54,8.9
2.54,8.9
2.7940000000000005,8.9
2.7940000000000005,8.9
2.54,8.9
2.54,8.9
2.54,6.9
3.81,8.4
2.7940000000000005,6.4
2.54,7
2.54,6.8
2.7940000000000005,6.8
2.7940000000000005,6.8
2.7940000000000005,6.9
2.7940000000000005,7.2
2.7940000000000005,7.2
3.81,6.9
3.5559999999999996,8
2.54,6.9
2.54,6.9
3.5559999999999996,6.1
2.54,6.1
4.572,6.1
2.54,6.1
3.048,6.1
2.7940000000000005,7
3.81,6.6
2.54,7.4
3.048,7.7
3.048,6.8
3.5559999999999996,6.3
3.5559999999999996,8.5
2.7940000000000005,8.5
3.5559999999999996,7.3
2.54,7.3
12.192,7.3
2.7940000000000005,6.2
2.54,6.3
2.54,6.6
2.54,6.6
3.302,7.7
2.7940000000000005,7.7
8.128,7.7
4.826,6.6
6.35,6.6
6.096,6.6
3.048,6.6
3.5559999999999996,6.6
2.7940000000000005,6.6
3.5559999999999996,6.6
2.54,7.7
2.7940000000000005,7
3.81,6.7
2.54,6.7
2.7940000000000005,6.5
2.54,7.1
3.048,7.1
3.048,7.1
2.7940000000000005,7.1
3.81,7.1
3.81,7.1
2.7940000000000005,7.1
2.7940000000000005,7.1
2.54,7.1
2.7940000000000005,7
5.588000000000001,7
3.5559999999999996,7
7.8740000000000006,7.1
2.54,6.8
2.54,6.8
2.54,4.6
2.54,4.5
2.54,4.9
3.048,4.8
2.7940000000000005,4.2
2.54,4.3
2.7940000000000005,4.2
2.54,4.2
3.048,4.2
2.54,5.7
2.54,5.7
3.302,4.9
2.54,4.9
2.54,5.7
2.54,5.9
2.54,5.9
2.7940000000000005,6.4
3.5559999999999996,6.1
2.7940000000000005,5.4
3.302,7.2
2.54,7.2
2.54,6
2.54,5.9
2.54,7.6
2.7940000000000005,7.6
3.302,7.6
3.048,7.6
4.572,7.7
3.302,5.1
2.7940000000000005,4.8
2.54,5.8
2.7940000000000005,5.8
2.7940000000000005,5.1
3.302,5.1
2.7940000000000005,5.1
2.54,5.1
2.54,4.5
3.048,4.5
2.54,5.3
2.7940000000000005,5.3
2.54,4.6
3.048,4.7
3.048,4.5
3.5559999999999996,4.7
2.54,4.6
3.302,4.9
2.7940000000000005,4.3
2.54,5.1
3.81,5.3
3.048,5.1
2.7940000000000005,4.8
2.54,4.7
3.048,5.3
3.302,5.3
3.302,5.1
3.048,5.1
2.7940000000000005,5.1
2.54,5.1
2.7940000000000005,4.6
3.81,4.6
3.302,4.6
3.048,5.1
3.81,5.1
3.302,5.6
2.54,5.3
2.7940000000000005,5.3
3.302,5.3
2.54,5.6
2.7940000000000005,5.4
3.048,5.4
2.54,4.9
2.7940000000000005,4.9
3.048,4.9
2.54,5.1
2.54,4.8
2.54,4.8
2.7940000000000005,4.8
2.54,4.8
3.048,4.8
2.54,4.8
2.54,5.1
4.318,5.8
2.54,5
2.7940000000000005,5.3
2.54,5.3
3.302,5.3
2.54,5.3
3.048,5.3
2.7940000000000005,5.2
3.81,5.2
3.048,5.2
3.5559999999999996,5.2
3.048,5.2
2.7940000000000005,5.2
2.7940000000000005,5.1
2.54,5.1
3.048,5.7
3.5559999999999996,5.7
6.604,5.7
2.7940000000000005,5.7
3.5559999999999996,5.7
4.572,5.7
3.302,5.7
3.048,5.7
3.5559999999999996,5.7
3.048,5.7
2.54,5.3
2.54,5.3
2.54,5
2.7940000000000005,5.5
4.064,8
2.54,5.5
2.54,5.5
3.048,5.5
3.302,5.3
4.064,4.9
2.7940000000000005,5.6
2.7940000000000005,5
2.54,5.2
3.5559999999999996,5.6
2.54,5.6
3.302,5.3
2.7940000000000005,5.6
3.81,4.8
5.842,4.8
4.826,4.8
2.54,5.8
3.048,5.5
2.54,5.5
2.54,5.5
2.54,5.9
3.302,4.9
3.5559999999999996,4.9
2.54,6.5
2.54,5.4
3.5559999999999996,5
3.302,4.5
2.54,4.5
2.7940000000000005,4.5
3.302,5.5
3.5559999999999996,5.5
2.7940000000000005,4.4
3.5559999999999996,4.4
3.5559999999999996,4.4
2.54,4.6
4.064,5.3
2.54,5.3
2.7940000000000005,5.3
2.7940000000000005,5.1
2.7940000000000005,5.1
2.54,5
3.81,5
3.048,5.3
3.302,5.3
3.048,5.3
3.048,5.3
2.7940000000000005,4.9
4.064,4.9
5.842,4.6
10.921999999999999,4.6
2.54,4.6
2.7940000000000005,4.6
3.302,4.6
4.318,5.2
2.7940000000000005,5.1
2.54,5
3.302,5
2.54,5
2.7940000000000005,5
5.08,5
2.54,4.9
2.54,4.9
3.81,4.9
2.7940000000000005,4.9
3.048,4.9
4.572,4.9
2.7940000000000005,5.3
3.048,5.3
3.302,5.3
2.7940000000000005,5.3
2.54,4.6
4.064,4.8
2.54,4.8
2.54,5
2.54,5.2
2.54,5.2
3.048,5.2
2.54,5.3
2.7940000000000005,5.5
2.7940000000000005,5.5
2.54,5.5
3.5559999999999996,5
3.048,4.6
4.064,4.4
2.7940000000000005,4.4
3.048,4.4
3.302,4.4
2.54,4.4
2.54,4.8
3.5559999999999996,5
3.048,5
3.048,4.9
2.54,4.9
2.7940000000000005,4.4
2.54,4.4
2.54,4.4
2.54,4.4
2.7940000000000005,4.4
3.048,4
2.54,4
2.54,4
2.7940000000000005,4.9
2.54,4.4
2.54,4.6
2.7940000000000005,5.4
3.048,5.2
2.54,4.8
2.54,5
2.54,5.5
3.5559999999999996,5.5
3.048,5.4
2.54,5.2
2.54,5.3
2.54,5.3
3.302,5.3
2.7940000000000005,4.8
2.7940000000000005,4.8
2.7940000000000005,4.8
2.7940000000000005,4.7
3.302,4.5
3.048,4.5
2.54,4.5
3.048,4.9
3.81,6
2.7940000000000005,6
2.7940000000000005,6.2
3.048,6.2
2.54,6.2
3.81,6.4
3.5559999999999996,6.4
2.7940000000000005,6.4
2.7940000000000005,6
2.7940000000000005,6
2.54,6.3
2.7940000000000005,6.3
3.048,6.3
3.048,6.3
2.54,6.1
3.5559999999999996,6.1
2.54,6.1
2.54,6.1
2.7940000000000005,5.9
3.048,5.6
2.54,5.9
4.572,5.7
3.048,5.7
2.54,5.5
2.54,5.5
2.7940000000000005,5.5
2.54,5.5
4.064,5.5
2.54,5.5
2.7940000000000005,5
2.54,4.7
3.81,4.7
3.048,4.7
2.7940000000000005,4.9
2.7940000000000005,4.9
2.54,4.9
2.54,5.2
2.54,5.2
2.54,4.6
2.54,4.6
2.54,4.6
4.318,4.9
2.7940000000000005,4.9
3.048,4.9
3.302,4.9
2.54,5.1
2.54,5
2.7940000000000005,5
2.54,5
2.7940000000000005,5
2.54,5
2.7940000000000005,4.9
2.54,5
2.7940000000000005,5
3.048,5.4
2.54,5.1
2.54,5.2
2.54,5
2.54,5
2.54,4.9
2.54,4.9
2.54,4.6
2.54,6.4
2.54,5.5
2.7940000000000005,6
2.54,6
2.54,6.4
3.5559999999999996,5.8
2.54,6.2
3.048,4.8
2.54,5.7
3.048,5.2
2.7940000000000005,5.2
2.54,5.4
3.048,5.6
2.54,5.6
3.048,5.6
2.54,5.6
2.7940000000000005,5.6
2.7940000000000005,5.6
3.048,5.6
2.7940000000000005,5.6
3.048,5.6
3.048,5.4
2.54,5.4
3.81,5.7
4.064,6
3.81,6
9.652,6
8.128,6
2.54,6
2.7940000000000005,6
2.54,6
2.54,6
3.81,6
2.7940000000000005,5.8
9.906,5.8
2.54,6.1
2.7940000000000005,6.1
3.302,6
2.54,6
3.302,6.1
4.318,5.3
3.302,5.3
2.7940000000000005,6.1
2.54,6.1
3.048,6.1
3.048,5.7
5.3340000000000005,6
5.08,5.7
3.048,5.7
2.7940000000000005,6.1
3.5559999999999996,7
3.048,7
2.54,7
4.064,7
3.81,7
2.7940000000000005,6
3.048,6
9.398000000000001,6.1
7.366,6.1
2.54,6.1
2.7940000000000005,6.7
2.54,6.9
2.7940000000000005,6.9
3.048,6.9
2.7940000000000005,6.3
2.7940000000000005,6.8
2.54,6.8
2.7940000000000005,6.8
3.302,6.8
9.906,6.8
11.176000000000002,7
2.7940000000000005,6.9
3.048,6.9
2.54,4.9
2.54,5.4
3.81,5.9
3.81,5.9
4.572,6.1
2.54,5.9
2.7940000000000005,6.3
4.572,6.3
2.54,6.8
2.54,6.8
2.54,7.4
2.54,5
4.064,5
2.54,5
2.7940000000000005,5
2.54,5
3.048,5
2.7940000000000005,5
2.7940000000000005,5
3.048,5.1
2.54,4.2
4.064,4.2
2.7940000000000005,4.7
2.54,4.7
3.5559999999999996,4.9
2.54,5.1
2.7940000000000005,5.1
2.54,5.1
2.7940000000000005,5.1
3.048,5.1
2.54,4.8
3.5559999999999996,5.2
2.54,4.8
3.5559999999999996,4.8
2.7940000000000005,4.8
3.302,5.1
2.54,5.1
2.54,5.1
2.7940000000000005,5.1
2.7940000000000005,5.1
2.7940000000000005,5.1
2.54,4.5
3.048,4.9
2.54,4.9
2.7940000000000005,4.9
2.7940000000000005,4.9
4.826,5.1
2.54,5.1
2.7940000000000005,5.4
3.048,5.6
2.54,5.6
3.5559999999999996,5.6
3.302,5.6
2.54,5.3
2.54,5.3
2.54,5.1
2.54,5.1
2.7940000000000005,5.5
3.048,5.5
3.302,5.5
2.54,5.5
2.7940000000000005,5.5
3.5559999999999996,5.5
2.7940000000000005,5.5
3.302,5.5
3.81,5.5
2.7940000000000005,5.5
2.7940000000000005,5.5
3.048,5.1
3.048,5.1
2.7940000000000005,5.1
2.7940000000000005,5.2
2.54,5
2.54,5
2.7940000000000005,5.2
2.7940000000000005,4.9
2.7940000000000005,5.3
3.5559999999999996,5.3
3.5559999999999996,5.3
2.54,5.3
2.7940000000000005,5.3
2.54,5
2.54,5
2.54,5.4
3.302,5.4
3.302,5.4
2.54,5.4
4.064,5.4
3.302,5.4
3.302,5.4
2.54,5.4
3.5559999999999996,5.4
4.826,5.4
3.302,5.4
2.7940000000000005,5.4
3.048,5.4
3.81,5.4
2.7940000000000005,4.7
2.7940000000000005,4.7
3.048,5.5
3.048,5.5
2.7940000000000005,4.8
2.7940000000000005,4.8
2.54,4.8
3.048,4.8
3.81,4.8
3.302,5
2.7940000000000005,5
2.7940000000000005,5
3.81,5
2.7940000000000005,5.8
4.572,5.4
2.7940000000000005,5
2.54,5
2.7940000000000005,5
3.5559999999999996,5
3.302,5
2.54,5
2.54,4.7
2.7940000000000005,4.7
2.54,5
2.7940000000000005,5
4.064,5.1
2.54,5.1
2.7940000000000005,4.3
2.54,4.3
3.81,4.9
3.048,4.9
3.048,4.9
3.048,4.8
2.7940000000000005,4.9
2.7940000000000005,4.8
3.302,4.8
2.54,4.8
2.7940000000000005,4.8
2.54,5
2.7940000000000005,5
2.54,5
2.7940000000000005,5
3.048,5
3.048,5.7
2.54,4.8
3.302,5.4
3.81,5.4
3.81,5.4
3.302,4.5
3.302,4.2
3.048,4.9
3.048,4.9
2.54,4.9
3.048,4.9
2.54,4.4
2.54,4.4
2.7940000000000005,5.1
2.54,4.8
2.54,4.8
2.54,4.8
2.54,4.8
2.54,4.8
2.54,4.8
2.7940000000000005,6
2.7940000000000005,6
2.7940000000000005,6
2.7940000000000005,6
2.7940000000000005,6
2.54,6
3.048,4.5
2.54,4.5
2.54,5.4
2.54,5.4
2.7940000000000005,5.3
2.7940000000000005,5
3.048,5
2.54,5
2.7940000000000005,5
2.54,4.8
3.302,4.7
2.7940000000000005,4.7
3.048,4.7
3.048,4.7
3.5559999999999996,4.7
2.54,4.7
3.048,4.7
3.048,4.7
2.54,4.9
3.048,4.8
2.7940000000000005,4.7
3.81,4.7
4.826,4.7
3.048,4.7
3.302,5.1
2.54,5.1
3.048,4.9
2.54,4.9
2.7940000000000005,4.9
3.302,5.2
2.54,5.2
2.7940000000000005,5.3
2.54,5.3
2.54,5.3
3.5559999999999996,5.3
4.064,5.3
3.5559999999999996,5.4
2.54,4.6
3.048,5.1
2.7940000000000005,5.1
2.7940000000000005,5.1
2.54,5.4
2.54,5
3.048,5
2.54,5
3.048,5
2.7940000000000005,5
2.7940000000000005,4.8
2.54,4.7
2.7940000000000005,4.7
2.7940000000000005,4.9
2.7940000000000005,4.9
2.54,4.9
2.54,5.1
2.7940000000000005,4.9
3.048,4.9
2.7940000000000005,4.9
2.54,5.4
2.7940000000000005,5.4
2.7940000000000005,5.4
2.54,5.3
3.302,5.3
2.7940000000000005,4.5
3.5559999999999996,5.9
2.54,5.9
2.7940000000000005,5.9
3.302,5.9
3.048,5.9
2.7940000000000005,5.9
3.302,5.9
2.54,5.9
4.826,5.9
3.302,5.9
3.302,5.9
2.7940000000000005,5.9
2.7940000000000005,5.9
2.54,5.9
2.54,5.9
3.5559999999999996,5.9
2.54,5.9
2.7940000000000005,5
4.318,5.3
3.5559999999999996,5.3
6.096,5.3
3.302,5.3
3.81,5.3
3.81,5.3
3.302,5.3
2.54,5.3
3.048,5.7
2.7940000000000005,5.7
3.5559999999999996,5.7
2.54,4.9
2.7940000000000005,5.2
2.7940000000000005,5.2
2.54,5.2
2.54,5.2
2.7940000000000005,5.2
2.7940000000000005,5.3
2.54,5
2.54,4.9
3.81,4.9
2.54,4.9
2.54,4.9
3.048,4.9
2.54,4.8
2.7940000000000005,4.8
3.302,4.7
2.54,4.7
3.302,5.2
3.81,5.2
2.7940000000000005,5.9
2.54,5.2
2.54,5.2
2.54,5.2
3.048,5
3.302,5
3.302,5
2.54,5
2.7940000000000005,5
2.7940000000000005,5
2.7940000000000005,5
3.5559999999999996,5
3.048,5
3.5559999999999996,5
3.5559999999999996,5.1
2.54,5.1
2.54,4.7
2.7940000000000005,4.7
2.54,5.3
3.048,5.3
3.5559999999999996,5.3
2.7940000000000005,4.9
2.54,5
2.54,5.1
2.54,5.1
3.048,5.1
3.81,5.2
3.048,5.1
2.54,5.1
2.54,5.1
2.7940000000000005,5.1
2.7940000000000005,5.1
2.54,5.1
2.54,5.1
3.302,5.1
3.5559999999999996,5.1
3.5559999999999996,4.9
3.302,4.9
2.54,5.2
2.54,5.2
2.54,5
2.54,5
2.7940000000000005,4.9
2.54,4.9
3.5559999999999996,4.6
4.318,4.6
3.302,4.6
2.54,5
2.54,5.4
2.54,5.4
3.5559999999999996,5.4
3.048,5.4
3.048,4.8
2.54,4.8
2.54,5
5.08,5
2.54,5
2.54,5.7
2.7940000000000005,5.2
2.7940000000000005,5.2
2.54,5.2
2.54,4.8
3.5559999999999996,4.8
3.048,4.8
4.572,5
2.7940000000000005,5
2.54,5
2.54,5.1
10.414,5.1
2.7940000000000005,5.4
3.81,5.4
3.048,5.4
2.7940000000000005,5.4
2.7940000000000005,5.4
2.7940000000000005,5.4
10.668000000000001,5
2.7940000000000005,5
3.5559999999999996,4.7
3.048,4.7
2.54,5.8
2.7940000000000005,5.4
3.048,4.8
2.54,4.8
3.302,4.8
3.048,5.4
3.5559999999999996,5.4
3.302,5.4
3.048,5.4
2.54,5.4
3.048,5.1
3.048,5
3.302,5
2.7940000000000005,5.4
3.81,5.4
2.7940000000000005,5.4
11.938,4.8
2.54,5.4
3.048,5.4
2.54,5.4
3.048,5.4
3.302,5.2
2.54,5.2
2.54,5.2
2.7940000000000005,5.2
8.128,4.5
2.54,4.5
4.572,4.7
8.636,4.7
3.302,4.6
3.302,4.6
2.54,5.3
2.54,5.3
2.54,5.3
2.54,5.3
3.81,4.9
9.906,4.9
3.302,5.5
3.302,5.5
